,County,City,year,U Total,U Occupied,Pop Total
91,Alameda,Newark,2011,13414.0,12976.0,42958.0
92,Alameda,Newark,2012,13414.0,12984.0,43363.0
93,Alameda,Newark,2013,13416.0,13009.0,43661.0
94,Alameda,Newark,2014,13419.0,12996.0,44062.0
95,Alameda,Newark,2015,13421.0,12990.0,44549.0
96,Alameda,Newark,2016,13470.0,13056.0,44882.0
97,Alameda,Newark,2017,13607.0,13149.0,45479.0
98,Alameda,Newark,2018,14147.0,13657.0,47178.0
99,Alameda,Newark,2019,14604.0,14098.0,48712.0
100,Alameda,Oakland,2010,169710.0,153791.0,390724.0
101,Alameda,Oakland,2011,169922.0,154390.0,395560.0
102,Alameda,Oakland,2012,170037.0,155381.0,401139.0
103,Alameda,Oakland,2013,170618.0,158297.0,410511.0
104,Alameda,Oakland,2014,170822.0,158494.0,415123.0
105,Alameda,Oakland,2015,171138.0,158783.0,420624.0
106,Alameda,Oakland,2016,171192.0,160806.0,426850.0
107,Alameda,Oakland,2017,171636.0,161217.0,430482.0
108,Alameda,Oakland,2018,172170.0,161711.0,431373.0
109,Alameda,Oakland,2019,172740.0,162246.0,432897.0
110,Alameda,Piedmont,2010,3924.0,3801.0,10667.0
111,Alameda,Piedmont,2011,3928.0,3808.0,10780.0
112,Alameda,Piedmont,2012,3932.0,3818.0,10903.0
113,Alameda,Piedmont,2013,3935.0,3837.0,11012.0
114,Alameda,Piedmont,2014,3937.0,3827.0,11097.0
115,Alameda,Piedmont,2015,3940.0,3824.0,11217.0
116,Alameda,Piedmont,2016,3943.0,3840.0,11292.0
117,Alameda,Piedmont,2017,3945.0,3842.0,11368.0
118,Alameda,Piedmont,2018,3949.0,3846.0,11368.0
119,Alameda,Piedmont,2019,3966.0,3863.0,11420.0
120,Alameda,Pleasanton,2010,26053.0,25245.0,70285.0
121,Alameda,Pleasanton,2011,26069.0,25250.0,70910.0
122,Alameda,Pleasanton,2012,26132.0,25287.0,71635.0
123,Alameda,Pleasanton,2013,26174.0,25264.0,71926.0
124,Alameda,Pleasanton,2014,26305.0,25436.0,73148.0
125,Alameda,Pleasanton,2015,26732.0,25871.0,75246.0
126,Alameda,Pleasanton,2016,26980.0,26057.0,76073.0
127,Alameda,Pleasanton,2017,27176.0,26247.0,77097.0
128,Alameda,Pleasanton,2018,28054.0,27095.0,79483.0
129,Alameda,Pleasanton,2019,28404.0,27433.0,80492.0
130,Alameda,San Leandro,2010,32419.0,30717.0,84950.0
131,Alameda,San Leandro,2011,32481.0,30794.0,85901.0
132,Alameda,San Leandro,2012,32485.0,30837.0,86769.0
